id,question,answer
1,Wat is je favoriete boek?,Mijn favoriete boek is 'De Hobbit' van J.R.R. Tolkien.
2,Wat is je favoriete film aller tijden?,Mijn favoriete film aller tijden is 'The Shawshank Redemption'.
3,Wat is je favoriete vakantiebestemming?,"Mijn favoriete vakantiebestemming is Bali, Indonesië."
4,Wat is je favoriete muziekgenre?,Mijn favoriete muziekgenre is rock.
5,Wat is je favoriete seizoen?,Mijn favoriete seizoen is de lente.
6,Wat is je favoriete hobby?,Mijn favoriete hobby is schilderen.
7,Wat is je favoriete gerecht?,Mijn favoriete gerecht is pizza.
8,Wat is je favoriete sport?,Mijn favoriete sport is tennis.
9,Wat is je favoriete kleur?,Mijn favoriete kleur is blauw.
10,Wat is je favoriete televisieserie?,Mijn favoriete televisieserie is 'Breaking Bad'.
11,Wat is je favoriete tijd van de dag?,Mijn favoriete tijd van de dag is de avond.
12,Wat is je favoriete herinnering?,Mijn favoriete herinnering is mijn afstuderen.
13,Wat is je favoriete dier?,Mijn favoriete dier is een hond.
14,Wat is je favoriete vak op school?,Mijn favoriete vak op school was wiskunde.
15,Wat is je favoriete gezelschapsspel?,Mijn favoriete gezelschapsspel is Monopoly.
16,Wat is je favoriete emoji?,Mijn favoriete emoji is 😄.
17,Wat is je favoriete app?,Mijn favoriete app is Instagram.
18,Wat is je favoriete drankje?,Mijn favoriete drankje is koffie.
19,Wat is je favoriete tv-programma?,Mijn favoriete tv-programma is 'Game of Thrones'.
20,Wat is je favoriete land om te bezoeken?,Mijn favoriete land om te bezoeken is Japan.
21,Wat is je favoriete instrument?,Mijn favoriete instrument is de gitaar.
22,Wat is je favoriete superheld?,Mijn favoriete superheld is Spider-Man.
23,Wat is je favoriete bloem?,Mijn favoriete bloem is de roos.
24,Wat is je favoriete auto?,Mijn favoriete auto is een Tesla.
25,Wat is je favoriete seizoen om te reizen?,Mijn favoriete seizoen om te reizen is de zomer.
26,Wat is je favoriete filmgenre?,Mijn favoriete filmgenre is sciencefiction.
27,Wat is je favoriete snoep?,Mijn favoriete snoep is chocolade.
28,Wat is je favoriete restaurant?,Mijn favoriete restaurant is een lokaal Italiaans restaurant.
29,Wat is je favoriete museum?,Mijn favoriete museum is het Louvre in Parijs.
30,Wat is je favoriete strandactiviteit?,Mijn favoriete strandactiviteit is zonnebaden.
31,Wat is je favoriete stadsdeel?,Mijn favoriete stadsdeel is het historische centrum.
32,Wat is je favoriete tv-kok?,Mijn favoriete tv-kok is Gordon Ramsay.
33,Wat is je favoriete reisherinnering?,Mijn favoriete reisherinnering is snorkelen in de Great Barrier Reef.
34,Wat is je favoriete zomeractiviteit?,Mijn favoriete zomeractiviteit is barbecueën met vrienden.
35,Wat is je favoriete manier om te ontspannen?,Mijn favoriete manier om te ontspannen is een warm bad nemen.
36,Wat is je favoriete kledingstuk?,Mijn favoriete kledingstuk is mijn zachte trui.
37,Wat is je favoriete boekengenre?,Mijn favoriete boekengenre is sciencefiction.
38,Wat is je favoriete onderwerp om over te praten?,Mijn favoriete onderwerp om over te praten is reizen.
39,Wat is je favoriete vakantietraditie?,Mijn favoriete vakantietraditie is kerstcadeautjes uitwisselen.
40,Wat is je favoriete weertype?,Mijn favoriete weertype is zonnig en warm.
41,Wat is je favoriete manier om te sporten?,Mijn favoriete manier om te sporten is hardlopen.
42,Wat is je favoriete huisdier?,Mijn favoriete huisdier is een kat.
43,Wat is je favoriete manier om een vrije dag door te brengen?,Mijn favoriete manier om een vrije dag door te brengen is wandelen in de natuur.
44,Wat is je favoriete feestdag?,Mijn favoriete feestdag is Kerstmis.
45,Wat is je favoriete seizoen om foto's te maken?,Mijn favoriete seizoen om foto's te maken is de herfst vanwege de kleurrijke bladeren.
46,Wat is je favoriete app op je telefoon?,Mijn favoriete app op mijn telefoon is Spotify.
